Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
32.94,0.226739,0.225764,0.220859,0.237489,0.183472,0.192081,0.18419,0.181639,0.171464,0.190529,0.184991,0.223565,0.214207,0.215686,0.191783,0.211877,0.195521,0.209662,0.19297,0.193778,0.197395,0.19866,0.209151,0.217593,0.172069,0.199867,0.195504,0,0,0,0,,
34.94,0.224786,0.226778,0.219718,0.234587,0.184489,0.190244,0.182759,0.180379,0.170604,0.188612,0.185178,0.2226,0.213447,0.214148,0.19282,0.211344,0.19441,0.206972,0.193865,0.192807,0.194042,0.197761,0.208602,0.217126,0.171669,0.201467,0.196081,0,0,0,0,,
36.94,0.225778,0.22767,0.219186,0.238382,0.183963,0.190214,0.184309,0.181825,0.171908,0.189496,0.186423,0.221419,0.214467,0.21333,0.193115,0.212453,0.194681,0.209579,0.194445,0.191162,0.194873,0.196353,0.210091,0.216489,0.17214,0.20137,0.19843,0,0,0,0,,
38.94,0.224569,0.228365,0.22145,0.234551,0.183382,0.190521,0.183271,0.181249,0.17056,0.189017,0.184431,0.222944,0.214749,0.214429,0.191445,0.211056,0.193868,0.208267,0.190365,0.190733,0.194103,0.195213,0.209693,0.216339,0.172336,0.200825,0.194249,0,0,0,0,,
40.94,0.225966,0.227663,0.22286,0.236064,0.183962,0.191898,0.184565,0.18203,0.171755,0.190816,0.185906,0.222136,0.213636,0.213243,0.193068,0.212115,0.192869,0.210183,0.19241,0.191078,0.194118,0.197731,0.209614,0.216728,0.172607,0.200247,0.194672,0,0,0,0,,
42.94,0.226649,0.225883,0.219279,0.233296,0.182343,0.191456,0.181059,0.17816,0.170861,0.187963,0.184775,0.222285,0.211405,0.21114,0.189459,0.20998,0.192071,0.207916,0.189132,0.189966,0.195567,0.19514,0.208398,0.214534,0.171133,0.197895,0.194915,0,0,0,0,,
44.94,0.226045,0.224637,0.220476,0.237466,0.183364,0.191718,0.183668,0.181045,0.169782,0.190647,0.183797,0.221557,0.211059,0.213156,0.192388,0.209495,0.190282,0.207731,0.191294,0.191515,0.196673,0.195396,0.208406,0.216742,0.172155,0.197551,0.193461,0,0,0,0,,
46.94,0.225358,0.227232,0.221336,0.237961,0.184913,0.1917,0.183955,0.180453,0.172322,0.190085,0.185827,0.223153,0.212923,0.214819,0.191769,0.208845,0.190997,0.20805,0.188952,0.192859,0.194211,0.195689,0.212205,0.216242,0.173339,0.197234,0.195169,0,0,0,0,,
48.94,0.225954,0.224652,0.22079,0.236862,0.184721,0.191727,0.183897,0.180305,0.171055,0.189575,0.185903,0.221734,0.213017,0.214928,0.192689,0.207584,0.192937,0.208844,0.191378,0.192781,0.193886,0.195888,0.210024,0.216542,0.173015,0.197872,0.19421,0,0,0,0,,
50.94,0.226894,0.224533,0.221546,0.235968,0.184342,0.193017,0.183224,0.181319,0.17037,0.190816,0.186433,0.221171,0.211635,0.215985,0.192291,0.208297,0.198039,0.208754,0.191412,0.19292,0.193752,0.194889,0.208979,0.215529,0.173816,0.199194,0.196041,0,0,0,0,,
