Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
662.98,0.22,0.21992,0.216515,0.230406,0.182766,0.194246,0.181272,0.181709,0.169915,0.186751,0.181184,0.164079,0.180818,0.166891,0.188197,0.185256,0.163766,0.187471,0.173086,0.164987,0.177128,0.166316,0.187593,0.179959,0.177617,0.193904,0.19237,0,0,0,0,,
664.98,0.220313,0.220148,0.219675,0.232023,0.18277,0.194754,0.185787,0.18325,0.170977,0.18843,0.182906,0.163722,0.181941,0.167952,0.188677,0.185193,0.16323,0.18688,0.1752,0.167151,0.176118,0.168828,0.188865,0.18153,0.176956,0.196718,0.197209,0,0,0,0,,
666.98,0.219608,0.220887,0.215355,0.231212,0.183203,0.194349,0.182639,0.182628,0.168523,0.188727,0.182217,0.161596,0.181817,0.166776,0.188049,0.184397,0.163722,0.185849,0.172143,0.163817,0.175777,0.16605,0.186483,0.179112,0.177702,0.195628,0.195347,0,0,0,0,,
668.98,0.2214,0.219301,0.215052,0.233918,0.183289,0.195567,0.18255,0.182214,0.170475,0.188065,0.182519,0.163521,0.182338,0.166274,0.188931,0.186523,0.163118,0.188332,0.17247,0.164973,0.177473,0.16959,0.188083,0.180405,0.177712,0.197187,0.195124,0,0,0,0,,
670.98,0.219698,0.219483,0.215948,0.232642,0.182196,0.194515,0.182719,0.181382,0.170632,0.187097,0.181846,0.163802,0.181944,0.168469,0.18792,0.184738,0.163471,0.185636,0.173099,0.16639,0.176394,0.1694,0.188931,0.181397,0.176767,0.196326,0.191195,0,0,0,0,,
672.98,0.218242,0.221146,0.218162,0.231946,0.182336,0.195856,0.183208,0.181583,0.169542,0.187483,0.181797,0.163868,0.181571,0.167365,0.187521,0.185474,0.163947,0.187603,0.171696,0.16523,0.173769,0.168444,0.187135,0.181173,0.17588,0.193505,0.189192,0,0,0,0,,
674.98,0.218509,0.217442,0.214919,0.231106,0.182221,0.195536,0.181206,0.181502,0.170468,0.188121,0.182471,0.163756,0.181098,0.166924,0.188888,0.184706,0.163452,0.186761,0.173635,0.16444,0.175666,0.167028,0.187856,0.180834,0.176639,0.192653,0.186445,0,0,0,0,,
676.98,0.220654,0.219715,0.215555,0.231038,0.183683,0.196088,0.181873,0.182303,0.169931,0.188894,0.182896,0.16264,0.182018,0.166922,0.188511,0.185215,0.163711,0.186622,0.175171,0.164775,0.176614,0.167769,0.187836,0.181226,0.176967,0.19267,0.186947,0,0,0,0,,
678.98,0.219602,0.216592,0.216185,0.232229,0.18237,0.194683,0.184475,0.18065,0.170225,0.186557,0.182937,0.16142,0.181326,0.169488,0.187931,0.18574,0.163723,0.186973,0.172894,0.1637,0.174678,0.169019,0.18983,0.181463,0.176412,0.190912,0.186471,0,0,0,0,,
680.98,0.219011,0.216795,0.216339,0.233113,0.183562,0.194371,0.181986,0.181939,0.170155,0.187436,0.182635,0.165578,0.181774,0.167217,0.187079,0.185812,0.163312,0.186774,0.173169,0.165164,0.176833,0.168204,0.189087,0.181758,0.176691,0.191786,0.186855,0,0,0,0,,
682.98,0.218055,0.21485,0.217167,0.231364,0.183885,0.195217,0.182648,0.182007,0.171016,0.188333,0.181399,0.16342,0.180576,0.167129,0.18817,0.185854,0.164522,0.185866,0.173155,0.16444,0.176912,0.168333,0.189271,0.180664,0.176492,0.190388,0.183712,0,0,0,0,,
684.98,0.220359,0.219156,0.216691,0.234147,0.18415,0.197604,0.182328,0.183535,0.17238,0.189356,0.182609,0.165536,0.182165,0.169164,0.188921,0.187378,0.163604,0.188572,0.174858,0.166917,0.177207,0.169396,0.189332,0.183175,0.17815,0.192365,0.183346,0,0,0,0,,
686.98,0.220916,0.221162,0.217425,0.232226,0.184212,0.195428,0.184007,0.182596,0.171626,0.187266,0.182979,0.164183,0.181762,0.168755,0.187736,0.186357,0.164479,0.186774,0.172641,0.166146,0.175613,0.168951,0.190595,0.181661,0.177691,0.192102,0.183096,0,0,0,0,,
688.98,0.222464,0.220632,0.217266,0.232847,0.184754,0.197158,0.185096,0.182927,0.171633,0.188968,0.183158,0.164696,0.181968,0.168318,0.187904,0.187477,0.165097,0.188089,0.174073,0.166023,0.178273,0.168998,0.189787,0.182283,0.177582,0.192748,0.182049,0,0,0,0,,
690.98,0.218451,0.219748,0.21785,0.233623,0.184706,0.197899,0.183445,0.182609,0.172096,0.188914,0.181912,0.165601,0.181867,0.168406,0.189038,0.185434,0.164825,0.1888,0.173394,0.167169,0.176517,0.16851,0.188929,0.183395,0.176204,0.189723,0.183198,0,0,0,0,,
692.98,0.220449,0.220279,0.217054,0.233044,0.183619,0.195928,0.183081,0.18336,0.172135,0.188357,0.18283,0.163981,0.183432,0.167827,0.188675,0.18739,0.164223,0.188412,0.174421,0.16689,0.176616,0.16884,0.189565,0.182342,0.176345,0.189647,0.179751,0,0,0,0,,
694.98,0.218976,0.220196,0.217194,0.232812,0.183748,0.195742,0.184292,0.183329,0.170359,0.188078,0.181614,0.166053,0.183078,0.167399,0.187859,0.186547,0.164581,0.188938,0.174285,0.16579,0.176205,0.168199,0.188859,0.183222,0.177775,0.189966,0.180354,0,0,0,0,,
696.98,0.218552,0.2198,0.2176,0.234121,0.184287,0.19542,0.183251,0.182311,0.170404,0.188453,0.181852,0.16337,0.18224,0.167471,0.188394,0.186504,0.164654,0.188736,0.173975,0.166928,0.177113,0.168172,0.189992,0.182048,0.175354,0.187696,0.179756,0,0,0,0,,
698.98,0.221588,0.218415,0.217192,0.230582,0.183697,0.19505,0.182187,0.183191,0.170785,0.186523,0.182347,0.161221,0.180533,0.167611,0.187079,0.186574,0.16357,0.186182,0.171402,0.165633,0.174479,0.167522,0.18816,0.181402,0.176692,0.188185,0.17688,0,0,0,0,,
700.98,0.222375,0.218659,0.217431,0.234158,0.184289,0.196365,0.182967,0.18306,0.170638,0.189457,0.182492,0.161606,0.181399,0.169314,0.189235,0.188011,0.164583,0.188551,0.17326,0.165745,0.177771,0.170344,0.191972,0.183892,0.178236,0.188255,0.177499,0,0,0,0,,
702.98,0.219832,0.220234,0.218618,0.234864,0.18488,0.196014,0.185126,0.182922,0.170643,0.187469,0.182553,0.163914,0.181815,0.167723,0.188321,0.187679,0.165395,0.188538,0.174625,0.166057,0.177528,0.169975,0.190663,0.182462,0.178661,0.187891,0.177366,0,0,0,0,,
704.98,0.221563,0.220296,0.218588,0.235472,0.185235,0.197606,0.186793,0.185151,0.172347,0.190639,0.184275,0.162723,0.183667,0.169064,0.189847,0.187829,0.164815,0.187506,0.173586,0.166624,0.177119,0.168619,0.192386,0.184166,0.178242,0.187196,0.178129,0,0,0,0,,
706.98,0.219228,0.221099,0.214613,0.233655,0.185185,0.195141,0.185427,0.183186,0.171382,0.188829,0.182114,0.163905,0.181212,0.169562,0.188129,0.187537,0.16449,0.187135,0.174212,0.164061,0.176693,0.169746,0.189969,0.18342,0.176684,0.186243,0.175958,0,0,0,0,,
708.98,0.219921,0.221931,0.217597,0.233441,0.185857,0.197902,0.183617,0.184224,0.170648,0.187604,0.182975,0.163142,0.181138,0.168019,0.188922,0.188306,0.165652,0.188314,0.172497,0.165257,0.177363,0.170031,0.190873,0.182516,0.177482,0.186468,0.176565,0,0,0,0,,
710.98,0.219303,0.22003,0.21532,0.231108,0.185094,0.194646,0.184163,0.183197,0.170837,0.188775,0.180529,0.163003,0.182329,0.167996,0.1885,0.18702,0.163663,0.187043,0.173624,0.165032,0.176102,0.168627,0.188366,0.182965,0.175508,0.185732,0.174851,0,0,0,0,,
712.98,0.221653,0.218939,0.216985,0.232336,0.185039,0.195959,0.18648,0.184291,0.172854,0.188973,0.182774,0.165021,0.183029,0.16923,0.19093,0.189081,0.164447,0.18946,0.174625,0.165902,0.1763,0.171495,0.18977,0.184696,0.178133,0.187253,0.174364,0,0,0,0,,
714.98,0.220046,0.219329,0.213224,0.23088,0.183628,0.194733,0.184851,0.18098,0.171009,0.187584,0.181397,0.162453,0.181789,0.166321,0.187967,0.186659,0.163501,0.187662,0.172021,0.163257,0.172933,0.170188,0.188639,0.182728,0.174275,0.184427,0.171958,0,0,0,0,,
716.98,0.219094,0.217793,0.213601,0.22954,0.182091,0.192302,0.182121,0.180557,0.169427,0.186382,0.179709,0.161422,0.179417,0.165969,0.186233,0.184875,0.160718,0.185226,0.170866,0.163241,0.173559,0.166696,0.186826,0.180468,0.174186,0.185194,0.171468,0,0,0,0,,
718.98,0.217704,0.21731,0.210669,0.230514,0.181885,0.192064,0.181384,0.179055,0.169704,0.185267,0.179524,0.160872,0.178396,0.166587,0.187269,0.183395,0.160715,0.185062,0.170106,0.162538,0.172749,0.168148,0.187945,0.180939,0.17477,0.182969,0.170467,0,0,0,0,,
720.98,0.21935,0.219409,0.211782,0.230433,0.182643,0.19401,0.183008,0.180803,0.169131,0.187208,0.180024,0.162466,0.179967,0.16701,0.187583,0.184848,0.162367,0.185613,0.171043,0.164101,0.175515,0.169202,0.188637,0.182166,0.174805,0.186248,0.17265,0,0,0,0,,
722.98,0.219889,0.218328,0.213272,0.230408,0.182891,0.193101,0.182153,0.18131,0.170441,0.187435,0.180159,0.162979,0.178822,0.16676,0.187625,0.186274,0.163025,0.185823,0.171493,0.163385,0.173634,0.170411,0.188331,0.181563,0.176037,0.186282,0.174339,0,0,0,0,,
724.98,0.217535,0.220805,0.214785,0.229859,0.184506,0.195656,0.18497,0.182013,0.170394,0.186849,0.182926,0.164554,0.181101,0.170882,0.189607,0.186751,0.164127,0.187891,0.172483,0.165632,0.172372,0.168689,0.189291,0.183231,0.175614,0.187187,0.174187,0,0,0,0,,
726.98,0.218397,0.218852,0.215041,0.232214,0.183172,0.192826,0.183213,0.182862,0.169957,0.187668,0.180913,0.163697,0.180254,0.168331,0.187846,0.186716,0.163487,0.185993,0.171595,0.165438,0.174546,0.170195,0.188257,0.182847,0.176117,0.187447,0.176603,0,0,0,0,,
728.98,0.220227,0.21867,0.214893,0.232729,0.184526,0.19491,0.181815,0.181589,0.17131,0.188872,0.180884,0.164136,0.180296,0.16716,0.188123,0.186986,0.164002,0.187483,0.172272,0.164947,0.175203,0.169862,0.189573,0.182532,0.174704,0.187512,0.176084,0,0,0,0,,
730.98,0.220412,0.220701,0.214205,0.230575,0.183179,0.196247,0.183745,0.180472,0.171834,0.190052,0.181369,0.165008,0.180199,0.168177,0.189191,0.188289,0.163332,0.187259,0.172169,0.164674,0.172776,0.170393,0.188972,0.183272,0.174241,0.189747,0.178202,0,0,0,0,,
732.98,0.223544,0.220298,0.217458,0.232886,0.185132,0.194442,0.18475,0.184063,0.170836,0.188042,0.18324,0.164039,0.181336,0.168291,0.18976,0.188142,0.166479,0.18661,0.17226,0.167415,0.175207,0.17107,0.190497,0.184521,0.176681,0.188963,0.182334,0,0,0,0,,
734.98,0.22319,0.219428,0.219074,0.233573,0.183407,0.196627,0.185438,0.182532,0.171185,0.189448,0.182781,0.163872,0.182315,0.167939,0.189603,0.188899,0.164174,0.188448,0.174635,0.166581,0.1753,0.170878,0.191553,0.185595,0.178319,0.189241,0.184146,0,0,0,0,,
736.98,0.221057,0.222667,0.219009,0.231878,0.185681,0.196659,0.183559,0.185095,0.172713,0.190409,0.182551,0.165228,0.181318,0.168732,0.190822,0.188121,0.167666,0.19002,0.17398,0.17009,0.175406,0.171437,0.191215,0.185842,0.177023,0.190416,0.186012,0,0,0,0,,
738.98,0.219824,0.221476,0.214961,0.231715,0.184036,0.196869,0.18368,0.183043,0.17032,0.188207,0.182891,0.16363,0.181098,0.167897,0.188963,0.188333,0.164368,0.188197,0.172682,0.165981,0.174743,0.171038,0.190635,0.184641,0.176195,0.1886,0.189971,0,0,0,0,,
740.98,0.224879,0.227817,0.221873,0.238602,0.190523,0.2034,0.190424,0.188069,0.177735,0.195659,0.188795,0.168578,0.188945,0.174918,0.195676,0.195327,0.1724,0.194272,0.1801,0.172937,0.182194,0.179317,0.197378,0.190965,0.183364,0.196176,0.199529,0,0,0,0,,
742.98,0.22933,0.228656,0.224972,0.240766,0.192902,0.20553,0.192807,0.19155,0.18063,0.198229,0.192229,0.172315,0.192755,0.177527,0.198948,0.197567,0.172114,0.198385,0.182848,0.176969,0.185356,0.183619,0.2025,0.195496,0.187542,0.200012,0.204685,0,0,0,0,,
744.98,0.226268,0.228319,0.222558,0.240169,0.191121,0.203939,0.188642,0.188653,0.177631,0.196179,0.189514,0.1685,0.188919,0.174154,0.195801,0.195753,0.17307,0.196283,0.180082,0.172738,0.183134,0.181664,0.20002,0.192402,0.183828,0.197939,0.205434,0,0,0,0,,
746.98,0.222099,0.222491,0.217043,0.231562,0.185747,0.197078,0.186355,0.183126,0.173041,0.190899,0.183713,0.165103,0.182928,0.169079,0.19091,0.189998,0.166713,0.189913,0.175052,0.167304,0.176929,0.175546,0.19299,0.186208,0.178403,0.192875,0.196615,0,0,0,0,,
748.98,0.218659,0.221966,0.216051,0.231853,0.184793,0.195179,0.184246,0.183421,0.171451,0.189483,0.18249,0.163919,0.182684,0.169185,0.189386,0.188595,0.164693,0.190696,0.172993,0.167742,0.176536,0.175096,0.191827,0.185858,0.176611,0.191007,0.194828,0,0,0,0,,
750.98,0.221229,0.224211,0.218725,0.232677,0.186326,0.198699,0.186074,0.185882,0.172233,0.192566,0.184749,0.16528,0.18337,0.171647,0.191193,0.190579,0.165959,0.189314,0.17485,0.168137,0.175882,0.176851,0.192768,0.187698,0.177947,0.193602,0.195278,0,0,0,0,,
752.98,0.224023,0.226178,0.223505,0.234156,0.188086,0.19931,0.188516,0.186503,0.173228,0.193629,0.187401,0.168786,0.186014,0.172619,0.192484,0.191114,0.168981,0.192922,0.177606,0.170703,0.180497,0.178441,0.194759,0.189272,0.179646,0.196596,0.193553,0,0,0,0,,
754.98,0.229385,0.231271,0.22547,0.239822,0.192691,0.204206,0.193252,0.191256,0.179042,0.199169,0.190271,0.171073,0.18961,0.175579,0.196435,0.1952,0.171282,0.195969,0.180822,0.175354,0.184228,0.181785,0.198802,0.192366,0.183332,0.200487,0.194747,0,0,0,0,,
756.98,0.229658,0.229856,0.222538,0.240379,0.192129,0.203768,0.190423,0.190017,0.1781,0.196342,0.1894,0.170589,0.187749,0.176331,0.195599,0.195252,0.16946,0.194464,0.180137,0.175435,0.183013,0.181242,0.198338,0.19268,0.184357,0.200215,0.193716,0,0,0,0,,
758.98,0.231303,0.231797,0.229676,0.243358,0.194045,0.206909,0.193717,0.193238,0.180217,0.199395,0.193244,0.171345,0.191146,0.179148,0.199327,0.197499,0.171141,0.197624,0.181957,0.175029,0.186116,0.184346,0.201079,0.194676,0.185837,0.20173,0.194484,0,0,0,0,,
760.98,0.229773,0.230793,0.225714,0.242088,0.192826,0.206594,0.194409,0.190641,0.179668,0.198603,0.191396,0.172686,0.191759,0.177685,0.196639,0.196346,0.171239,0.196225,0.183125,0.175597,0.184861,0.182249,0.199023,0.194044,0.184676,0.199694,0.189751,0,0,0,0,,
762.98,0.22886,0.232644,0.225905,0.241883,0.192786,0.206337,0.192777,0.191702,0.178923,0.198711,0.190917,0.171925,0.19109,0.179042,0.198464,0.195619,0.171242,0.196178,0.181709,0.175096,0.18492,0.183459,0.19911,0.194577,0.185761,0.198547,0.189486,0,0,0,0,,
764.98,0.224386,0.228967,0.221637,0.234583,0.1898,0.201829,0.189262,0.187062,0.17662,0.194577,0.186253,0.16773,0.18675,0.173144,0.193629,0.191754,0.166249,0.192601,0.178984,0.172376,0.178982,0.178484,0.196764,0.19001,0.181397,0.19429,0.184398,0,0,0,0,,
766.98,0.22431,0.227391,0.220703,0.235248,0.18884,0.199979,0.188063,0.188106,0.175428,0.19348,0.185853,0.16704,0.184273,0.17454,0.193544,0.193725,0.168174,0.191555,0.176628,0.173493,0.180059,0.178749,0.195166,0.190886,0.181384,0.193609,0.183629,0,0,0,1,767.8," ""LED 1 s"""
771.86,0.244102,0.249146,0.239507,0.256891,0.206731,0.222261,0.205749,0.20545,0.190635,0.21316,0.205523,0.181817,0.20448,0.192176,0.213838,0.210857,0.185307,0.210337,0.195917,0.190653,0.19977,0.195081,0.21657,0.211741,0.201635,0.215024,0.199753,0,0,0,0,,
773.86,0.228156,0.234323,0.223347,0.241966,0.192193,0.205726,0.19128,0.191496,0.178103,0.197334,0.191206,0.172303,0.189112,0.180218,0.19805,0.196996,0.172237,0.197023,0.181249,0.173734,0.183614,0.183453,0.200837,0.195731,0.191005,0.204302,0.187923,0,0,0,0,,
775.86,0.226588,0.23232,0.220854,0.240254,0.192095,0.203909,0.192343,0.189366,0.177421,0.194733,0.188188,0.17433,0.191247,0.184216,0.197651,0.197253,0.174244,0.196101,0.181714,0.174632,0.183311,0.181942,0.20354,0.198392,0.185316,0.204281,0.192059,0,0,0,0,,
777.86,0.226136,0.229332,0.221617,0.239093,0.191288,0.205207,0.191327,0.189896,0.175786,0.196369,0.188446,0.173714,0.18994,0.186891,0.196476,0.196376,0.173837,0.195429,0.181984,0.173861,0.180748,0.182869,0.206389,0.200537,0.184593,0.207554,0.195657,0,0,0,0,,
779.86,0.224324,0.227567,0.222405,0.238658,0.192178,0.204141,0.192186,0.189601,0.177898,0.196572,0.188032,0.17508,0.192197,0.191746,0.195878,0.197823,0.179271,0.196595,0.181899,0.173524,0.179446,0.183991,0.209373,0.20233,0.184878,0.207557,0.199964,0,0,0,0,,
783.86,0.232812,0.234337,0.227214,0.247076,0.196686,0.20973,0.193871,0.192946,0.181327,0.201912,0.194847,0.182767,0.20174,0.212122,0.202187,0.206036,0.189154,0.202293,0.188861,0.181603,0.1871,0.190535,0.226857,0.223451,0.191594,0.215935,0.212353,0,0,0,0,781.86,error
785.86,0.22822,0.231163,0.224306,0.243178,0.193699,0.207038,0.192626,0.190749,0.180348,0.197359,0.191122,0.181683,0.206024,0.218291,0.198917,0.205402,0.192413,0.202325,0.186496,0.176064,0.185346,0.189259,0.230521,0.234085,0.187089,0.21114,0.211806,0,0,0,0,,
787.88,0.227792,0.232439,0.222782,0.240236,0.19138,0.204492,0.19231,0.190399,0.177153,0.196102,0.189114,0.184209,0.211596,0.218048,0.197174,0.207286,0.198415,0.199867,0.184977,0.174258,0.182876,0.188984,0.228428,0.23051,0.18807,0.209792,0.208632,0,0,0,0,,
789.88,0.228334,0.231978,0.221947,0.242697,0.193668,0.204111,0.191906,0.190003,0.178263,0.196273,0.189357,0.188023,0.215173,0.215602,0.197714,0.20849,0.202466,0.203053,0.1847,0.175421,0.182977,0.190168,0.22547,0.226594,0.189749,0.205798,0.205196,0,0,0,0,,
791.88,0.227072,0.230795,0.221405,0.238996,0.191695,0.204204,0.188812,0.190648,0.177246,0.196339,0.18921,0.185958,0.215919,0.209874,0.197601,0.21123,0.1999,0.224104,0.185896,0.174852,0.180342,0.190069,0.219944,0.219773,0.191389,0.203733,0.202058,0,0,0,0,,
793.88,0.223642,0.229992,0.220768,0.239417,0.192128,0.202721,0.191004,0.189381,0.17671,0.196547,0.189618,0.18451,0.213285,0.202938,0.196736,0.213885,0.194395,0.233728,0.182127,0.174099,0.182445,0.189948,0.214826,0.214839,0.190225,0.204044,0.198284,0,0,0,0,,
795.88,0.226565,0.22847,0.222389,0.238598,0.190838,0.203274,0.192085,0.188531,0.176963,0.195188,0.189193,0.184097,0.212539,0.197969,0.195693,0.215813,0.192366,0.232121,0.184299,0.175647,0.180075,0.189336,0.209842,0.212339,0.193351,0.204313,0.197842,0,0,0,0,,
797.88,0.224315,0.229997,0.222324,0.238488,0.191558,0.204949,0.191423,0.189826,0.177671,0.195811,0.188057,0.182934,0.208067,0.192608,0.196887,0.216253,0.191421,0.228442,0.183375,0.175203,0.180994,0.188441,0.209397,0.207777,0.200318,0.200407,0.195711,0,0,0,0,,
799.88,0.22379,0.227601,0.220006,0.236266,0.191251,0.202574,0.190124,0.188822,0.176115,0.195599,0.188038,0.180412,0.205415,0.190661,0.195891,0.214061,0.188196,0.222966,0.183364,0.17438,0.179564,0.187609,0.20606,0.204353,0.204269,0.200125,0.193195,0,0,0,0,,
801.88,0.222328,0.226984,0.219543,0.236173,0.190775,0.20172,0.190592,0.190316,0.176956,0.197693,0.187322,0.1798,0.201509,0.187413,0.196505,0.211129,0.183874,0.217,0.183445,0.171685,0.179275,0.18656,0.203598,0.201996,0.206231,0.198296,0.191257,0,0,0,0,,
803.88,0.226228,0.228404,0.220679,0.235237,0.19051,0.205849,0.19031,0.190584,0.176878,0.195585,0.189533,0.179212,0.200914,0.184085,0.196975,0.209324,0.182318,0.214216,0.182988,0.175293,0.177777,0.18655,0.202723,0.201026,0.207293,0.198206,0.190154,0,0,0,0,,
805.88,0.225747,0.230201,0.219921,0.239345,0.191258,0.204746,0.189967,0.188801,0.176718,0.195851,0.189084,0.17693,0.197324,0.183699,0.196866,0.208131,0.179789,0.21002,0.183908,0.175609,0.179207,0.187165,0.20189,0.198605,0.205594,0.198315,0.190575,0,0,0,0,,
808.12,0.222378,0.227238,0.218158,0.235664,0.190745,0.203317,0.189365,0.188909,0.177896,0.195256,0.18782,0.173977,0.192453,0.179854,0.195647,0.204555,0.176276,0.205492,0.182054,0.17412,0.178177,0.1847,0.199153,0.195406,0.203394,0.196653,0.189644,0,0,0,0,,
810.12,0.223763,0.226036,0.218658,0.236642,0.190139,0.203002,0.187685,0.189602,0.178913,0.195537,0.187924,0.173621,0.192477,0.177496,0.196697,0.203665,0.177302,0.202619,0.181536,0.172936,0.180723,0.186136,0.199895,0.196502,0.202099,0.197284,0.188742,0,0,0,0,,
812.12,0.222994,0.224856,0.221362,0.234509,0.190582,0.203137,0.190639,0.189326,0.178952,0.197301,0.18859,0.169541,0.190994,0.178668,0.195366,0.201022,0.176096,0.20165,0.182142,0.175184,0.178588,0.183753,0.19802,0.193965,0.197882,0.19797,0.187893,0,0,0,0,,
814.12,0.221815,0.225822,0.218686,0.234884,0.189112,0.202067,0.189675,0.187815,0.177407,0.195092,0.187366,0.16761,0.190478,0.177395,0.195395,0.199713,0.173371,0.201155,0.179984,0.173321,0.178438,0.183758,0.197428,0.192014,0.19546,0.197593,0.18559,0,0,0,0,,
816.12,0.222583,0.226356,0.218439,0.236727,0.190719,0.202742,0.187215,0.187859,0.176744,0.195603,0.187401,0.166236,0.190365,0.177055,0.194798,0.200387,0.174947,0.199715,0.178783,0.172718,0.177574,0.183734,0.195881,0.192022,0.195215,0.196986,0.186441,0,0,0,0,,
818.12,0.222961,0.2255,0.217094,0.234129,0.19062,0.203187,0.188695,0.187493,0.177965,0.196224,0.18795,0.16878,0.188485,0.174878,0.194942,0.198185,0.171386,0.197564,0.180168,0.170993,0.17749,0.18341,0.193951,0.190732,0.193431,0.197827,0.186345,0,0,0,0,,
820.12,0.223885,0.226193,0.218262,0.23327,0.18914,0.202265,0.188936,0.186779,0.17516,0.19466,0.18679,0.16536,0.186884,0.175043,0.19423,0.195932,0.17046,0.194075,0.179743,0.171583,0.176656,0.181182,0.193459,0.188718,0.18943,0.196834,0.18658,0,0,0,0,,
822.12,0.224466,0.226183,0.215477,0.236019,0.189193,0.203266,0.189694,0.18876,0.175594,0.19597,0.187966,0.166344,0.187263,0.172273,0.194408,0.195956,0.169488,0.194348,0.180291,0.170604,0.17687,0.181315,0.193748,0.18853,0.188012,0.196534,0.186141,0,0,0,0,,
824.12,0.224007,0.22474,0.216511,0.23619,0.188804,0.20356,0.19,0.186688,0.17643,0.194365,0.186667,0.162104,0.186127,0.172225,0.194259,0.195772,0.169593,0.195187,0.179433,0.17204,0.176703,0.180399,0.192424,0.188853,0.186272,0.198187,0.186414,0,0,0,0,,
826.12,0.22427,0.225623,0.218613,0.236821,0.1898,0.203915,0.189989,0.189336,0.175231,0.194289,0.187357,0.162858,0.185678,0.172523,0.195739,0.195485,0.170249,0.195178,0.179617,0.170255,0.177348,0.180679,0.193482,0.188841,0.184744,0.198118,0.18905,0,0,0,0,,
828.12,0.224851,0.225533,0.219019,0.236652,0.190323,0.201513,0.189907,0.186493,0.176064,0.195187,0.187002,0.163268,0.187001,0.171337,0.194289,0.194969,0.170489,0.193721,0.17998,0.171162,0.177085,0.183253,0.194053,0.18835,0.184381,0.198684,0.191798,0,0,0,0,,
830.12,0.22182,0.223322,0.218677,0.234019,0.188202,0.200818,0.189255,0.186211,0.174418,0.193578,0.184378,0.164758,0.185824,0.169642,0.194858,0.192967,0.16824,0.193202,0.17919,0.168694,0.17886,0.180635,0.191493,0.185664,0.181879,0.196612,0.191288,0,0,0,0,,
832.46,0.221952,0.222965,0.218249,0.23395,0.189592,0.200315,0.190416,0.187936,0.176362,0.194659,0.18443,0.1634,0.185855,0.169938,0.194542,0.192761,0.16793,0.191773,0.178647,0.168956,0.178426,0.181292,0.193407,0.187123,0.181904,0.196863,0.19404,1,0,0,0,832.46," ""LED 5 s"""
840.53,0.235299,0.232788,0.22495,0.245853,0.196244,0.208849,0.197345,0.194234,0.182554,0.2014,0.19111,0.173982,0.194226,0.177422,0.201434,0.20255,0.175272,0.199625,0.189736,0.176078,0.187352,0.192477,0.202192,0.195061,0.189653,0.217323,0.217235,0,0,0,0,,
842.53,0.23011,0.229632,0.22323,0.2419,0.192133,0.204811,0.192276,0.190623,0.177315,0.199141,0.187629,0.176728,0.190033,0.175355,0.198616,0.198112,0.171519,0.196574,0.188366,0.175853,0.185706,0.192591,0.198918,0.192499,0.185902,0.213358,0.20895,0,0,0,0,,
844.53,0.226195,0.226903,0.221031,0.236304,0.19014,0.202098,0.191939,0.190263,0.176307,0.196886,0.188893,0.175547,0.188676,0.175092,0.196795,0.198909,0.170757,0.193768,0.1897,0.173194,0.183258,0.194523,0.197535,0.189793,0.184447,0.207841,0.20254,0,0,0,0,,
846.53,0.226546,0.223531,0.218901,0.237703,0.191601,0.203885,0.192148,0.189374,0.176847,0.195873,0.186709,0.177394,0.189528,0.173636,0.197243,0.198551,0.170754,0.193725,0.190647,0.172283,0.184487,0.194475,0.196909,0.189552,0.183598,0.203753,0.19931,0,0,0,0,,
848.53,0.226119,0.2251,0.218765,0.237375,0.192287,0.202025,0.19044,0.190533,0.178581,0.196745,0.186216,0.178909,0.190489,0.173684,0.196706,0.198149,0.172052,0.194287,0.19346,0.17341,0.185015,0.194941,0.197512,0.190656,0.184338,0.202625,0.195498,0,0,0,0,,
850.53,0.224653,0.224948,0.220225,0.234092,0.192112,0.203808,0.191087,0.188472,0.176413,0.195125,0.185591,0.177987,0.188196,0.171464,0.196491,0.198464,0.171238,0.193813,0.190843,0.17196,0.183863,0.194192,0.197565,0.19015,0.183675,0.201499,0.194549,0,0,0,0,,
852.53,0.223869,0.224661,0.218832,0.235391,0.191707,0.202614,0.19053,0.188042,0.177064,0.196636,0.185633,0.176981,0.190174,0.17102,0.197881,0.198527,0.170776,0.193478,0.189005,0.172298,0.182379,0.190357,0.196443,0.189348,0.183281,0.197912,0.190399,0,0,0,0,,
854.53,0.226863,0.226277,0.221945,0.237553,0.192846,0.20562,0.192777,0.19123,0.178666,0.19873,0.186307,0.17841,0.190939,0.172311,0.197576,0.199971,0.170703,0.194638,0.191751,0.172988,0.184496,0.193439,0.198934,0.190941,0.187276,0.198467,0.191421,0,0,0,0,,
